name,country,janr
1+1,Франция,драма
Зеленая миля,США,драма
Форрест Гамп,США,драма
Побег из Шоушенка,США,драма
Унесённые призраками,Япония,аниме
Интерстеллар,США,фантастика
Бойцовский клуб,США,триллер
Криминальное чтиво,США,криминал
Властелин колец: Возвращение короля,Новая,Зеландия
Шрэк,США,мультфильм
Ходячий замок,Япония,аниме
Иван Васильевич меняет профессию,СССР,комедия
Леон,Франция,боевик
Список Шиндлера,США,драма
Остров проклятых,США,триллер
Властелин колец: Братство Кольца,Новая,Зеландия
Достучаться до небес,Германия,драма
Властелин колец: Две крепости,Новая,Зеландия
Начало,США,фантастика
Как приручить дракона,США,мультфильм
Джентльмены удачи,СССР,комедия
Терминатор 2: Судный день,США,фантастика
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,СССР,детектив
Джентльмены,США,криминал
Шерлок Холмс и доктор Ватсон: Знакомство,СССР,криминал
"Поймай меня, если сможешь",США,криминал
Зеленая книга,США,биография
Темный рыцарь,США,фантастика
Москва слезам не верит,СССР,мелодрама
Большой куш,Великобритания,криминал
Хатико: Самый верный друг,США,драма
Шрэк 2,США,мультфильм
Тайна Коко,США,мультфильм
Король Лев,США,мультфильм
Мой сосед Тоторо,Япония,аниме
Брат,Россия,драма
Назад в будущее,США,фантастика
Собачье сердце,СССР,драма
Брат 2,Россия,боевик
Служебный роман,СССР,мелодрама
Пианист,Франция,драма
...А зори здесь тихие,СССР,драма
Гладиатор,США,история
ВАЛЛ·И,США,мультфильм
Волк с Уолл-стрит,США,драма
Человек-паук: Паутина вселенных,США,мультфильм
Человек-паук: Через вселенные,Канада,мультфильм
Они сражались за Родину,СССР,драма
Ведьмина служба доставки,Япония,аниме
Принцесса Мононоке,Япония,аниме
Хоббит: Нежданное путешествие,Новая,Зеландия
Операция «Ы» и другие приключения Шурика,СССР,комедия
Гордость и предубеждение,Великобритания,драма
"Карты, деньги, два ствола",Великобритания,боевик
Бриллиантовая рука,СССР,комедия
Хоббит: Битва пяти воинств,Новая,Зеландия
Шоу Трумана,США,драма
Укрощение строптивого,Италия,мелодрама
Пятый элемент,Франция,фантастика
В бой идут одни «старики»,СССР,военный
В августе 44-го,Россия,боевик
Одержимость,США,драма
Песнь моря,Ирландия,мультфильм
Маленький принц,Франция,мультфильм
"Кавказская пленница, или Новые приключения Шурика",СССР,комедия
Престиж,Великобритания,триллер
Человек-паук,США,фантастика
Хоббит: Пустошь Смауга,Новая,Зеландия
Титаник,США,мелодрама
Пираты Карибского моря: Проклятие Черной жемчужины,США,фэнтези
Гарри Поттер и философский камень,Великобритания,фэнтези
Матрица,США,фантастика
Офицеры,СССР,драма
Девчата,СССР,мелодрама
Лев,Австралия,драма
Эрнест и Селестина: Приключения мышки и медведя,Франция,мультфильм
Иди и смотри,СССР,драма
Рыбка Поньо на утесе,Япония,аниме
Клаус,Испания,мультфильм
Терминал,США,драма
Вторая жизнь Уве,Швеция,драма
Дело храбрых,США,драма
"Знакомьтесь, Джо Блэк",США,мелодрама
Жизнь прекрасна,Италия,военный
Навсикая из долины ветров,Япония,аниме
Судьба человека,СССР,драма
Пеле: Рождение легенды,США,биография
Отступники,США,триллер
Мадагаскар,США,мультфильм
Люди в чёрном,США,фантастика
Укрась прощальное утро цветами обещания,Япония,аниме
Гарри Поттер и узник Азкабана,Великобритания,фэнтези
Джанго освобожденный,США,вестерн
Брестская крепость,Беларусь,военный
Двухсотлетний человек,Германия,фантастика
Привидение,США,мелодрама
Тот самый Мюнхгаузен,СССР,фэнтези
Сестрёнка,Россия,драма
Молчание ягнят,США,триллер
Хранители снов,США,мультфильм
Доктор,Россия,драма
Вам и не снилось...,СССР,драма
Приключения Паддингтона 2,Великобритания,фэнтези
Твоё имя,Япония,аниме
Человек дождя,США,драма
Семь,США,триллер
Малышка на миллион,США,драма
12 разгневанных мужчин,США,драма
"Добро пожаловать, или Посторонним вход воспрещен",СССР,комедия
12 стульев,СССР,комедия
Счастливое число Слевина,США,триллер
Война,Россия,боевик
День сурка,США,фэнтези
Небесный замок Лапута,Япония,аниме
Летят журавли,СССР,военный
Крестный отец,США,драма
Алеша Попович и Тугарин Змей,Россия,мультфильм
Стражи Галактики. Часть 3,США,фантастика
Шерлок Холмс и доктор Ватсон: Сокровища Агры,СССР,мелодрама
Монстры на каникулах,США,мультфильм
На войне как на войне,СССР,военный
Кин-дза-дза!,СССР,фантастика
Мужики!..,СССР,драма
Достать ножи,США,детектив
Остров сокровищ,СССР,мультфильм
Лекарь: Ученик Авиценны,Германия,приключения
Бесславные ублюдки,Германия,боевик
Ученик чудовища,Япония,аниме
Игры разума,США,биография
Чудо,США,драма
Жизнь других,Германия,триллер
Апокалипсис,США,боевик
Крестный отец 2,США,драма
Рататуй,США,мультфильм
Балканский рубеж,Россия,боевик
Холодное лето пятьдесят третьего...,СССР,драма
Амели,Франция,мелодрама
По соображениям совести,Австралия,биография
Белое солнце пустыни,СССР,боевик
Корпорация монстров,США,мультфильм
Ветер крепчает,Япония,аниме
Ла-Ла Ленд,США,мюзикл
Белый Бим Черное ухо,СССР,драма
Гарри Поттер и Тайная комната,Великобритания,фэнтези
Омерзительная восьмерка,США,вестерн
Покровские ворота,СССР,мюзикл
Мимино,СССР,драма
Маугли дикой планеты,Франция,мультфильм
Общество мертвых поэтов,США,драма
Король говорит!,Великобритания,драма
Гарри Поттер и Дары Смерти: Часть II,Великобритания,фэнтези
Назад в будущее 2,США,фантастика
Крик тишины,Россия,драма
Подольские курсанты,Россия,военный
Мумия,США,фэнтези
Доспехи Бога 2: Операция Кондор,Гонконг,боевик
Не может быть!,СССР,мелодрама
Смех и горе у Бела моря,СССР,мультфильм
Джуманджи,США,фэнтези
Игра,США,триллер
Мстители: Война бесконечности,США,фантастика
Собачья жизнь,США,фэнтези
Доспехи Бога,Гонконг,боевик
Таксист,Корея,Южная
Дурак,Россия,драма
Загадочная история Бенджамина Баттона,США,драма
Запах женщины,США,драма
Зверополис,США,мультфильм
Легенда №17,Россия,биография
"Хороший, плохой, злой",Италия,вестерн
Творение Господне,США,драма
Шёпот сердца,Япония,аниме
Пираты Карибского моря: Сундук мертвеца,США,фэнтези
Белорусский вокзал,СССР,драма
Догвилль,Дания,триллер
Такси,Франция,боевик
Любовь и голуби,СССР,мелодрама
Кунг-фу жеребец,Китай,драма
Битва за Севастополь,Россия,военный
Звёздные войны: Эпизод 3 — Месть ситхов,США,фантастика
Реквием по мечте,США,драма
Кинчем — мое сокровище,Венгрия,драма
Восточный ветер,Германия,приключения
Один дома,США,комедия
Пролетая над гнездом кукушки,США,драма
Вверх,США,мультфильм
Самая обаятельная и привлекательная,СССР,мелодрама
Мальчик в полосатой пижаме,Великобритания,драма
Могила светлячков,Япония,аниме
Аватар,США,фантастика
Лучшее предложение,Италия,триллер
Дневник памяти,США,драма
Крупная рыба,США,фэнтези
Профессионал,Франция,боевик
О чём говорят мужчины,Россия,комедия
Жизнь Дэвида Гейла,Великобритания,триллер
12 лет рабства,Великобритания,драма
Стражи Галактики,США,фантастика
Жестокий романс,СССР,драма
Невезучие,Франция,комедия
Шерлок Холмс и доктор Ватсон: Двадцатый век начинается,СССР,триллер
Темный рыцарь: Возрождение легенды,США,фантастика
Человек с бульвара Капуцинов,СССР,вестерн
Изгой,США,драма
Области тьмы,США,триллер
Невидимая сторона,США,драма
Вокзал для двоих,СССР,драма
Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,СССР,криминал
Афоня,СССР,драма
Формула любви,СССР,мелодрама
Прислуга,США,драма
Экипаж,Россия,драма
Землетрясение,Китай,драма
Девять ярдов,США,комедия
"Свой среди чужих, чужой среди своих",СССР,боевик
Порко Россо,Япония,аниме
Далласский клуб покупателей,США,драма
Парк Юрского периода,США,приключения
Адвокат дьявола,США,триллер
Спасти рядового Райана,США,военный
Лапа,Венгрия,драма
Отель «Гранд Будапешт»,США,комедия
День выборов,Россия,комедия
Весна на Заречной улице,СССР,драма
Добрыня Никитич и Змей Горыныч,Россия,мультфильм
Железный человек,США,фантастика
В джазе только девушки,США,мелодрама
В погоне за счастьем,США,драма
Доктор Лиза,Россия,драма
Век Адалин,США,драма
Унесённые ветром,США,мелодрама
Опасная игра Слоун,США,драма
Огонь,Россия,драма
Отпуск по обмену,США,мелодрама
Трансформеры,США,фантастика
Зверопой 2,США,мультфильм
Обыкновенное чудо,СССР,мюзикл
Как прогулять школу с пользой,Франция,драма
Ворошиловский стрелок,Россия,драма
Берегись автомобиля,СССР,криминал
Душа,США,мультфильм
Троя,США,боевик
По семейным обстоятельствам,СССР,драма
Аладдин,США,мультфильм
Шоколад,Великобритания,драма
Максим Перепелица,СССР,комедия
Олдбой,Корея,Южная
Мулан,США,мультфильм
Особенности национальной охоты,Россия,комедия
Гарри Поттер и Кубок огня,Великобритания,фэнтези
