name,country,janr
Побег из Шоушенка,США,драма
Крестный отец,США,криминал
Темный рыцарь,США,фантастика
Крестный отец 2,США,криминал
12 разгневанных мужчин,США,криминал
Список Шиндлера,США,биография
Властелин колец: Возвращение короля,Новая,фэнтези
Криминальное чтиво,США,криминал
Властелин колец: Братство Кольца,Новая,фэнтези
"Хороший, плохой, злой",Италия,вестерн
Форрест Гамп,США,драма
Властелин колец: Две крепости,США,фэнтези
Бойцовский клуб,США,драма
Начало,США,фантастика
Звездные войны: Эпизод 5 – Империя наносит ответный удар,США,фантастика
Матрица,США,фантастика
Славные парни,США,биография
Пролетая над гнездом кукушки,США,драма
Семь,США,детектив
Интерстеллар,Великобритания,фантастика
Эта замечательная жизнь,США,драма
Семь самураев,Япония,боевик
Дюна: Часть вторая,США,фантастика
Молчание ягнят,США,триллер
Спасти рядового Райана,США,драма
Город бога,Бразилия,криминал
Жизнь прекрасна,Италия,комедия
Зеленая миля,США,драма
Терминатор 2: Судный день,США,фантастика
Звездные войны: Эпизод 4 – Новая надежда,США,фантастика
Назад в будущее,США,фантастика
Унесенные призраками,Япония,аниме
Пианист,Франция,биография
Паразиты,Южная,комедия
Психо,США,ужасы
Человек-паук: Паутина Вселенных,США,мультфильм
Гладиатор,США,боевик
Король Лев,США,мультфильм
Леон,Франция,боевик
Отступники,США,криминал
Американская история X,США,криминал
Одержимость,США,драма
Престиж,США,фантастика
Могила светлячков,Япония,аниме
Харакири,Япония,боевик
Подозрительные лица,США,криминал
Касабланка,США,драма
1+1,Франция,комедия
Новый кинотеатр «Парадизо»,Италия,драма
Новые времена,США,комедия
Побег из Шоушенка,США,драма
Крестный отец,США,криминал
Темный рыцарь,США,фантастика
Крестный отец 2,США,криминал
12 разгневанных мужчин,США,криминал
Список Шиндлера,США,биография
Властелин колец: Возвращение короля,Новая,фэнтези
Криминальное чтиво,США,криминал
Властелин колец: Братство Кольца,Новая,фэнтези
"Хороший, плохой, злой",Италия,вестерн
Форрест Гамп,США,драма
Властелин колец: Две крепости,США,фэнтези
Бойцовский клуб,США,драма
Начало,США,фантастика
Звездные войны: Эпизод 5 – Империя наносит ответный удар,США,фантастика
